UUID,NPS,Comment
tdb987cae44614595a5e0b05816ca8514,10,I love the constant communication and input from Supplemental.  Heather Morrow takes excellent care of our district and is always available to us.  She is just incredible!
t63be0d6dc641400a9a307cc19f3ae62a,3,Have had to end contracts due to poor work ethic and attitude.
t08bb69ec39474c5bbfce1e1d84556dc7,7,Service.
te7f0bc1ad80d4b25a42ebc6d4080c173,10,Good communication with contact at Supplemental & good candidates submitted for employment.
te4eff45ae4774afaa227b27d3ccb46e5,7,"Quick to respond to need for temporary placements and good communication with Supplemental. However, we have only been happy with one or two of the people who were filling in for us."
t7295966516fc4457927d7fee3e747801,10,My contact at SHC
t24ca2c90448449e5aa4cc727ee0921ed,10,"great customer service, prompt action to all requests"
te116fc07040b478b8ef1c64db048d275,8,SHC has provided several providers that have been helpful to our district's needs.
t435ec149001243b98a892ce7e789c035,7,The office staff is efficient and friendly. Some of the nurse that were sent didn't show up for work when they were scheduled call off were a big problem when we have agency its because we are short on staff.
tdf18afc97cc0414e83260addd65b6969,10,Supplemental tries to match an individual with the requests and submits qualified candidates as soon as possible.
tf6bb5f69b5b946649893434e0d71b5d8,10,Courtesy and friendly represetative
t1ccd6e7ad35a4ef581471dc87eb9fd00,9,Excellent candidates
tf8c19732d39c4e229e4815668d49e361,10,great collaboration with assigned recruitment staff. Very responsive to feedback and issues/concerns. Incredibly easy to work with. Understand our organization and needs.
taa0aab11ca1d45fdbb49b8650b0d79dc,10,Supplemental does a great job at finding good candidates
t24e8e6610c664a259f316ab3deb92a51,8,"People are very nice, they respond to your inquiries."
t449377dd95a449b7ac53a5ae263b8714,10,Great Leadership Response.  Quality nurses
tb7d8ae19d95242c0ba4d11cf24e522aa,9,Good c/s and attentiveness of Recruiter
taf32b345d651408c8dffbd51bc08abdd,9,"Supplemental always checks in with me regarding staffing, they always keep me updated with qualified candidates."
t25859d1bfb66439699e3519a3ad33db1,10,fast service
t4a9d54e731b0461eb23136db58743d3d,9,"Providers have been doing a good job. With the change of staffing at the cooperate level, there have been a few challenges."
t8c45f1754a5c4a39b19d294fff139ba7,2,Some of the nursing staff will not commit to working events. They don't have a problem canceling and not working an event at the last minute leaving us without coverage. That makes us look bad to our client!
tf35e66f5fafe489c8438155aba098e09,9,SHC is quick to resolve staffing issues
t454c1afedd7541178bf1d6adcacf85b7,10,"Great partnership, great communication and follow up."
t6c40654628214ae984c55b04fa3ad3ca,3,pay practices are unclear
